Floor Date,Days on Floor,Last Paid,Floorplan Status,Vehicle Status,Vehicle Description,Odometer,VIN,Stock #,Title Status,Due Date,Source,Principal Balance + One Day Loan,Fee,Interest,Cltrl. Prtctn.,Other,Total
06/30/2016,28,,Approved,In Stock,2011 GMC Sierra 1500 SLT,0,1GTV2WE28BZ325913,933,File Room,08/29/2016,Moda Cars LLC,"$18,000.00 ",$110.00 ,$88.53 ,$0.00 ,$168.00 ,"$18,366.53 "
07/06/2016,22,,Approved,Collateral Verified,2016 Audi A4 Premium Plus,0,WAUFFAFL9GN006731,939,File Room,09/06/2016,,"$25,500.00 ",$110.00 ,$98.29 ,$0.00 ,$168.00 ,"$25,876.29 "
07/06/2016,22,,Approved,In Stock,2014 Ford Expedition Limited,0,1FMJU2A59EEF55968,940,File Room,09/06/2016,,"$25,000.00 ",$110.00 ,$96.38 ,$0.00 ,$168.00 ,"$25,374.38 "
07/08/2016,20,,Approved,In Stock,2015 Jeep Wrangler Unlimited Rubicon,0,1C4HJWFG5FL546758,941,File Room,09/06/2016,Moda Cars LLC,"$28,000.00 ",$110.00 ,$98.00 ,$0.00 ,$168.00 ,"$28,376.00 "
07/08/2016,20,,Approved,Collateral Verified,2012 Ford Flex Limited,0,2FMHK6DT2CBD01176,942,File Room,09/06/2016,Moda Cars LLC,"$15,600.00 ",$110.00 ,$55.03 ,$0.00 ,$168.00 ,"$15,933.03 "
07/08/2016,20,,Approved,In Stock,2015 Ram 3500 Tradesman,0,3C63R3GL3FG690200,943,File Room,09/06/2016,Moda Cars LLC,"$28,500.00 ",$110.00 ,$99.74 ,$0.00 ,$168.00 ,"$28,877.74 "
07/08/2016,20,,Approved,In Stock,2013 Hyundai Genesis 3.8L V6,0,KMHGC4DD5DU215118,944,File Room,09/06/2016,Moda Cars LLC,"$11,100.00 ",$110.00 ,$39.43 ,$0.00 ,$168.00 ,"$11,417.43 "
07/08/2016,20,,Approved,In Stock,2013 Toyota Tacoma SR5,0,3TMLU4EN4DM117449,945,File Room,09/06/2016,Moda Cars LLC,"$20,500.00 ",$110.00 ,$72.01 ,$0.00 ,$168.00 ,"$20,850.01 "
07/08/2016,20,,Approved,In Stock,2014 Ram 1500 Tradesman,0,1C6RR7FT9ES427428,946,File Room,09/06/2016,Moda Cars LLC,"$17,500.00 ",$110.00 ,$61.61 ,$0.00 ,$168.00 ,"$17,839.61 "
07/08/2016,20,,Approved,In Stock,2015 Honda CR-V EX-L,0,2HKRM4H77FH661802,947,File Room,09/06/2016,Moda Cars LLC,"$16,000.00 ",$110.00 ,$56.41 ,$0.00 ,$168.00 ,"$16,334.41 "
07/08/2016,20,,Approved,In Stock,2014 Ram 1500 Sport,0,1C6RR7UT8ES177618,948,File Room,09/06/2016,Moda Cars LLC,"$23,000.00 ",$110.00 ,$80.67 ,$0.00 ,$168.00 ,"$23,358.67 "
07/08/2016,20,,Approved,In Stock,2015 Toyota Tacoma TRD Pro,0,3TMLU4EN5FM164668,949,File Room,09/06/2016,Moda Cars LLC,"$24,000.00 ",$110.00 ,$84.14 ,$0.00 ,$168.00 ,"$24,362.14 "
07/11/2016,17,,Approved,In Stock,2016 Toyota Rav4 LE,0,JTMBFREV3GJ052324,950,File Room,09/09/2016,Moda Cars LLC,"$16,500.00 ",$110.00 ,$49.41 ,$0.00 ,$168.00 ,"$16,827.41 "
07/11/2016,17,,Approved,Collateral Verified,2008 Chevrolet Suburban 1500 LS,0,3GNFK16338G185302,951,File Room,09/09/2016,Moda Cars LLC,"$12,000.00 ",$110.00 ,$36.16 ,$0.00 ,$168.00 ,"$12,314.16 "
07/11/2016,17,,Approved,In Stock,2015 Toyota Rav4 XLE,0,2T3RFREV2FW338521,952,File Room,09/09/2016,Moda Cars LLC,"$15,000.00 ",$110.00 ,$44.99 ,$0.00 ,$168.00 ,"$15,322.99 "
07/11/2016,17,,Approved,Collateral Verified,2014 Subaru XV Crosstrek Premium,0,JF2GPAVC5E8301585,953,File Room,09/09/2016,Moda Cars LLC,"$12,000.00 ",$110.00 ,$36.16 ,$0.00 ,$168.00 ,"$12,314.16 "
07/11/2016,17,,Approved,Collateral Verified,2015 Lexus IS 250,0,JTHCF1D2XF5029612,954,File Room,09/09/2016,Moda Cars LLC,"$24,000.00 ",$110.00 ,$71.50 ,$0.00 ,$168.00 ,"$24,349.50 "
07/11/2016,17,,Approved,Collateral Verified,2015 Honda Accord Sport,0,1HGCR2F53FA064006,955,File Room,09/09/2016,Moda Cars LLC,"$12,000.00 ",$110.00 ,$36.16 ,$0.00 ,$168.00 ,"$12,314.16 "
07/11/2016,17,,Approved,Collateral Verified,2014 BMW 5-Series 535dxi,0,WBAFV3C55ED684223,956,File Room,09/09/2016,Moda Cars LLC,"$28,000.00 ",$110.00 ,$83.28 ,$0.00 ,$168.00 ,"$28,361.28 "
07/11/2016,17,,Approved,In Stock,2011 Land Rover Range Rover Sport HSE,0,SALSK2D41BA279329,957,File Room,09/09/2016,Moda Cars LLC,"$20,000.00 ",$110.00 ,$59.72 ,$0.00 ,$168.00 ,"$20,337.72 "
07/11/2016,17,,Approved,In Stock,2015 Chevrolet Tahoe LT,0,1GNSKBKC6FR113436,958,File Room,09/09/2016,Moda Cars LLC,"$30,000.00 ",$110.00 ,$89.17 ,$0.00 ,$168.00 ,"$30,367.17 "
07/11/2016,17,,Approved,Collateral Verified,2014 Buick Enclave Premium,"25,400",5GAKVCKD8EJ152350,959,File Room,09/09/2016,,"$23,900.00 ",$110.00 ,$71.21 ,$0.00 ,$168.00 ,"$24,249.21 "
07/12/2016,16,,Approved,In Stock,2016 Ford Explorer Sport,"1,071",1FM5K8GTXGGC23805,960,File Room,09/12/2016,,"$34,500.00 ",$110.00 ,$96.39 ,$0.00 ,$168.00 ,"$34,874.39 "
07/12/2016,16,,Approved,In Stock,2014 Ford Explorer Sport,"29,028",1FM5K8GT4EGB48208,961,File Room,09/12/2016,King Star Auto,"$24,500.00 ",$110.00 ,$68.64 ,$0.00 ,$168.00 ,"$24,846.64 "
07/13/2016,15,,Approved,In Stock,2015 Lexus NX 200T,0,JTJYARBZ5F2021002,962,File Room,09/12/2016,"Copart, Inc.","$11,258.00 ",$60.00 ,$29.84 ,$0.00 ,$168.00 ,"$11,515.84 "
07/13/2016,15,,Approved,In Stock,2015 Toyota HIGHLANDER,"5,904",5TDBKRFH6FS138605,963,At Source,09/12/2016,"Copart, Inc.","$14,348.00 ",$60.00 ,$37.87 ,$0.00 ,$168.00 ,"$14,613.87 "
07/13/2016,15,,Approved,In Stock,2013 Cadillac CTS PERFOR,"47,373",1G6DM5E33D0102049,964,File Room,09/12/2016,"Copart, Inc.","$6,075.00 ",$60.00 ,$16.38 ,$0.00 ,$168.00 ,"$6,319.38 "
07/13/2016,15,,Approved,In Stock,2015 Subaru WRX PREMIU,"18,560",JF1VA1D62F8819597,965,File Room,09/12/2016,"Copart, Inc.","$6,673.00 ",$60.00 ,$17.93 ,$0.00 ,$168.00 ,"$6,918.93 "
